TOTAL REWARD,TILT,CRASH,GOAL,DISTANCEN_STEPS,DONE,ERRORE
-0.8464724711387385,-0.1046252688944492,0,0,-0.03851005486534484,22,False,3.8510054865344836
-0.8849879961766189,-0.05257290519824985,0,0,-0.038515525037880444,23,False,3.8515525037880445
-0.9235066068054395,-0.08802090261123055,0,0,-0.03851861062882058,24,False,3.8518610628820578
-0.9620424456042685,-0.08603443724469285,0,0,-0.03853583879882901,25,False,3.853583879882901
-1.0005567070275263,-0.022155213234898073,0,0,-0.03851426142325767,26,False,3.8514261423257676
-1.0390760913292207,-0.05089193528503815,0,0,-0.0385193843016944,27,False,3.85193843016944
-1.0776056618133605,-0.06097012086233437,0,0,-0.038529570484139714,28,False,3.852957048413971
-1.1161316422016123,-0.02436151866351139,0,0,-0.03852598038825181,29,False,3.8525980388251804
-1.154671677896768,-0.03288038411952727,0,0,-0.038540035695155656,30,False,3.854003569515566
-1.1931851236311046,-0.08326616715362328,0,0,-0.038513445734336495,31,False,3.8513445734336496
-1.2316770916009232,-0.02912909951821654,0,0,-0.03849196796981859,32,False,3.849196796981859
-1.2701781980755544,-0.07589925563989496,0,0,-0.03850110647463126,33,False,3.8501106474631257
-1.3087140434280904,-0.13127763736617887,0,0,-0.038535845352535965,34,False,3.8535845352535962
-1.3472415278320702,-0.08668450499769113,0,0,-0.0385274844039799,35,False,3.85274844039799
-1.3857803685397696,-0.05654864230726246,0,0,-0.03853884070769935,36,False,3.8538840707699347
-1.4243133344954133,-0.011051252653138189,0,0,-0.038532965955643594,37,False,3.8532965955643594
-1.4628348189092335,-0.018817610366710907,0,0,-0.03852148441382015,38,False,3.8521484413820155
-1.50135930514174,-0.02939895235800295,0,0,-0.038524486232506476,39,False,3.852448623250648
-1.539883939091439,-0.014158852303699771,0,0,-0.03852463394969897,40,False,3.8524633949698965
-1.5784271894195356,-0.07417577265998693,0,0,-0.03854325032809676,41,False,3.8543250328096756
-1.6169967342197744,-0.06957862121413069,0,0,-0.03856954480023886,42,False,3.856954480023886
-1.6555498151949966,-0.038429454933087984,0,0,-0.03855308097522207,43,False,3.855308097522207
-1.6940975046477489,-0.026820022606152707,0,0,-0.03854768945275239,44,False,3.854768945275239
-1.732643649243152,-0.022103328409692934,0,0,-0.038546144595403085,45,False,3.8546144595403087
-1.7711411863956625,-0.02618269706053775,0,0,-0.038497537152510544,46,False,3.849753715251054
-1.809584874946932,-0.08075713199019517,0,0,-0.03844368855126949,47,False,3.844368855126949
-1.8480025101579132,-0.04565803855608792,0,0,-0.038417635210980974,48,False,3.8417635210980974
-1.8864049288225673,-0.04735294218406695,0,0,-0.03840241866465402,49,False,3.8402418664654023
-1.9247725818009294,-0.08730177148436953,0,0,-0.03836765297836206,50,False,3.836765297836206
-1.9631116667402881,-0.028809193270103717,0,0,-0.03833908493935871,51,False,3.8339084939358714
-2.001446363616564,-0.025706195186601506,0,0,-0.03833469687627593,52,False,3.833469687627593
-2.039807172634862,-0.07495250750864353,0,0,-0.03836080901829829,53,False,3.836080901829829
-2.0782185472254344,-0.015893052839603267,0,0,-0.03841137459057229,54,False,3.841137459057229
-2.116675032136284,-0.032182676678367945,0,0,-0.03845648491084981,55,False,3.8456484910849813
-2.155154724537304,-0.06105736498531679,0,0,-0.03847969240101994,56,False,3.8479692401019943
-2.1936632234800264,-0.08166200819841454,0,0,-0.038508498942722576,57,False,3.8508498942722578
-2.2322045329720415,-0.03905328728855259,0,0,-0.03854130949201502,58,False,3.8541309492015023
-2.2707345888544057,-0.02337945774668064,0,0,-0.038530055882364245,59,False,3.8530055882364245
-2.3092347538599243,-0.09934019636342645,0,0,-0.03850016500551854,60,False,3.850016500551854
-2.3477343433706577,-0.009570247183175586,0,0,-0.038499589510733484,61,False,3.8499589510733485
-2.3862627431812635,-0.035032416516875754,0,0,-0.03852839981060602,62,False,3.8528399810606015
