Wall time,Step,Value
1685703383.8920715,800,-8.716316223144531
1685703433.1275475,1472,2.999735116958618
1685703479.9056838,2272,-0.4210994243621826
1685703528.5895464,3072,-2.1655778884887695
1685703575.4375384,3872,-3.4570693969726562
1685703622.3111236,4672,-4.272500514984131
1685703668.789307,5472,-4.704283237457275
1685703714.8321626,6272,-5.152307987213135
1685703761.6620111,7072,-5.518063068389893
1685703808.5134552,7872,-5.6713056564331055
1685703855.1800556,8672,-5.890017509460449
1685703904.4135542,9472,-6.228116989135742
1685703951.2495632,10272,-6.855504512786865
1685703997.950854,11072,-7.079290390014648
1685704045.9332895,11872,-7.245701313018799
1685704094.10586,12672,-7.369601726531982
1685704141.2410915,13472,-7.5665435791015625
1685704188.8511205,14272,-7.793124198913574
1685704239.2813623,15072,-7.904208183288574
1685704287.5353801,15872,-8.059652328491211
1685704335.9964273,16672,-8.188922882080078
1685704382.9496334,17472,-8.32593822479248
1685704431.0551286,18272,-8.278877258300781
1685704478.949368,19072,-8.369156837463379
1685704517.2662776,19729,-7.296838283538818
1685704560.2996888,20404,-6.266376972198486
1685704607.10703,21204,-7.216357231140137
1685704654.206312,22004,-7.335399627685547
1685704701.4662187,22804,-7.390582084655762
1685704747.872887,23604,-7.435845375061035
1685704792.8403738,24404,-7.567359924316406
1685704837.7540877,25204,-7.720663547515869
1685704883.0941782,26004,-7.8515238761901855
1685704928.5113623,26804,-8.003190040588379
1685704975.354524,27604,-8.107159614562988
1685705023.8651896,28404,-8.171643257141113
1685705070.018091,29204,-8.168330192565918
1685705114.861622,30004,-8.083659172058105
1685705159.3974211,30804,-8.06301498413086
1685705203.732992,31604,-7.9711737632751465
1685705250.2414846,32404,-7.932487964630127
1685705301.2441697,33204,-7.786001682281494
1685705349.3873534,34004,-7.7064714431762695
1685705395.333611,34804,-7.6370954513549805
1685705440.5209546,35604,-7.5201416015625
1685705485.9722064,36404,-7.429270267486572
1685705532.6247516,37204,-7.403653621673584
1685705581.2640555,38004,-7.431330680847168
1685705631.2006152,38804,-7.321210861206055
1685705676.0513139,39604,-8.477086067199707
1685705721.4045963,40404,-9.558431625366211
1685705772.6998537,41204,-9.579160690307617
1685705818.7064278,42004,-9.555042266845703
1685705874.1408575,42804,-9.568154335021973
1685705919.2732632,43604,-9.499659538269043
1685705964.7229404,44404,-9.35375690460205
1685706014.9431639,45204,-9.24160099029541
1685706062.309064,46004,-9.125349998474121
1685706108.2754495,46804,-8.995673179626465
1685706153.975393,47604,-9.04153060913086
1685706199.4030917,48404,-8.947866439819336
1685706245.5455396,49204,-8.897496223449707
1685706291.3253531,50004,-8.762970924377441
1685706338.0815022,50804,-8.729999542236328
1685706385.2661657,51604,-8.73864459991455
1685706431.4355986,52404,-8.792642593383789
1685706483.0184317,53204,-8.922761917114258
1685706531.5350258,54004,-8.846328735351562
1685706578.5617805,54804,-8.838238716125488
1685706635.4498882,55604,-8.98075008392334
1685706684.8920634,56404,-9.125543594360352
1685706734.5768805,57204,-9.04991340637207
1685706780.8123968,58004,-9.091007232666016
1685706825.7744522,58804,-9.206792831420898
1685706870.6884406,59604,-9.142702102661133
1685706916.4811146,60404,-9.134760856628418
1685706962.6369092,61204,-9.084336280822754
1685707008.4957242,62004,-9.120863914489746
1685707054.293197,62804,-9.11951732635498
1685707100.3827024,63604,-9.161539077758789
1685707148.645606,64404,-9.266372680664062
1685707204.3864524,65204,-9.24399185180664
1685707250.1120787,66004,-9.242607116699219
