Wall time,Step,Value
1685567457.8536224,113587,96.49256134033203
1685567477.2128572,113886,96.49571990966797
1685567500.2780998,114275,96.48007202148438
1685567521.432585,114616,96.48564147949219
1685567545.8641818,115017,96.47657012939453
1685567566.0835295,115339,96.47869873046875
1685567586.765241,115673,96.48851776123047
1685567607.045822,116004,96.48979949951172
1685567626.1639504,116315,96.49562072753906
1685567645.4484687,116625,96.49055480957031
1685567665.7162526,116953,96.48373413085938
1685567687.0648878,117297,96.47516632080078
1685567705.3856373,117592,96.49602508544922
1685567728.4497266,117972,96.4737319946289
1685567750.1628966,118328,96.47958374023438
1685567772.1917129,118688,96.48837280273438
1685567792.035403,119008,96.4910888671875
1685567813.893738,119372,96.49407958984375
1685567834.5530598,119707,96.5052719116211
1685567855.6275177,120041,96.50982666015625
1685567875.1281247,120358,96.50181579589844
1685567899.5048778,120765,96.49092102050781
1685567918.3858204,121068,96.4992904663086
1685567936.0230517,121351,96.51002502441406
1685567958.3477309,121713,96.51679992675781
1685567978.4404187,122044,98.5625991821289
1685568000.6132824,122406,98.55601501464844
1685568018.2321866,122692,98.57302856445312
1685568041.2381954,123072,98.5730209350586
1685568059.792314,123376,98.58639526367188
1685568082.200295,123748,98.5760726928711
1685568102.3354928,124075,98.56950378417969
1685568120.6944706,124364,98.58301544189453
1685568138.267968,124644,98.5846939086914
1685568160.1808228,125013,98.58344268798828
1685568181.314801,125361,98.58940887451172
1685568201.6458192,125699,98.58894348144531
1685568220.2169447,126004,98.58763122558594
1685568240.4799066,126339,98.58685302734375
1685568258.275924,126626,98.60848999023438
1685568278.0410469,126951,98.60879516601562
1685568298.7975419,127296,98.60637664794922
1685568319.7630248,127640,98.59941864013672
1685568337.8954408,127932,98.60586547851562
1685568358.9403245,128283,98.58517456054688
1685568380.7588494,128646,98.58384704589844
1685568400.814044,128971,98.60591888427734
1685568419.914787,129285,98.60536193847656
1685568437.445213,129569,98.60547637939453
1685568454.2734594,129837,98.62751770019531
