Wall time,Step,Value
1685532774.9989665,800,200.0
1685532821.6089723,1600,200.0
1685532869.353674,2400,200.0
1685532920.0278373,3200,200.0
1685532967.8692882,4000,200.0
1685533019.5747993,4800,200.0
1685533068.4549506,5600,200.0
1685533114.4512012,6400,200.0
1685533165.4537773,7200,200.0
1685533223.2131152,8000,200.0
1685533277.7794933,8800,200.0
1685533329.181791,9600,200.0
1685533381.876722,10400,200.0
1685533427.6008663,11200,200.0
1685533472.708407,12000,200.0
1685533520.2233596,12800,200.0
1685533570.9291894,13600,200.0
1685533617.702116,14400,200.0
1685533671.8217864,15200,200.0
1685533720.792276,16000,200.0
1685533775.435896,16800,200.0
1685533823.645654,17467,198.48863220214844
1685533878.988933,18267,198.55435180664062
1685533927.3525336,19067,198.6145782470703
1685533978.1948717,19867,198.6699981689453
1685534036.9153802,20667,198.6699981689453
1685534097.3210022,21467,198.6699981689453
1685534152.2360249,22267,198.6699981689453
1685534211.1647089,23067,198.6699981689453
1685534274.8940184,23867,198.6699981689453
1685534331.8779392,24667,198.6699981689453
1685534378.4986107,25467,198.6699981689453
1685534432.6628258,26267,198.6699981689453
1685534481.9867857,27067,198.6699981689453
1685534532.0912876,27867,198.6699981689453
1685534590.1003497,28667,198.6699981689453
1685534648.2860982,29467,198.6699981689453
1685534757.1084669,30267,198.6699981689453
1685534825.0879238,31067,198.6699981689453
1685534868.4928029,31779,197.7899932861328
1685534917.9330826,32579,197.7899932861328
1685534980.129306,33379,197.7899932861328
1685535029.8688624,34179,197.7899932861328
1685535086.9750144,34979,197.7899932861328
1685535143.6302993,35779,197.7899932861328
1685535195.7937427,36579,197.7899932861328
1685535245.9572158,37379,199.1199951171875
1685535291.6419547,38179,199.1199951171875
1685535338.4571958,38979,199.1199951171875
1685535386.043185,39779,199.1199951171875
1685535434.0653276,40579,199.1199951171875
1685535482.6717114,41379,199.1199951171875
1685535530.831136,42179,199.1199951171875
1685535576.5527506,42979,199.1199951171875
1685535622.882159,43779,199.1199951171875
1685535672.207564,44579,199.1199951171875
1685535731.4736738,45379,199.1199951171875
1685535774.1602905,46073,198.05999755859375
1685535835.9655333,46873,198.05999755859375
1685535886.691309,47673,198.05999755859375
1685535923.136334,48240,195.72999572753906
1685535964.2093337,48902,194.35000610351562
1685536008.805676,49617,193.5
1685536057.3671544,50417,193.5
1685536104.39167,51155,193.75999450683594
1685536151.2384634,51897,193.17999267578125
1685536199.9182234,52668,192.88999938964844
1685536245.2711923,53389,192.10000610351562
1685536292.0260499,54118,191.38999938964844
1685536331.0535758,54758,189.7899932861328
1685536381.033271,55558,189.7899932861328
1685536415.027921,56079,187.0
1685536442.400202,56537,183.5800018310547
1685536481.5830996,57159,181.8000030517578
1685536521.1284993,57765,179.86000061035156
1685536552.9400628,58285,177.05999755859375
1685536580.8372843,58735,173.55999755859375
1685536619.5248775,59371,171.9199981689453
1685536649.8140194,59852,168.72999572753906
1685536674.5918627,60228,164.49000549316406
1685536714.9787908,60895,163.16000366210938
1685536739.7739613,61270,158.91000366210938
1685536766.8882022,61689,156.16000366210938
1685536799.0908537,62222,153.49000549316406
1685536831.5968022,62732,150.58999633789062
1685536862.668401,63246,150.05999755859375
1685536909.1971953,63954,150.52000427246094
1685536941.0659246,64486,148.69000244140625
1685536968.6727731,64913,144.9600067138672
1685537012.1405568,65660,145.0500030517578
1685537036.216369,66042,141.4499969482422
1685537057.2885847,66381,137.1300048828125
1685537087.2817285,66894,135.0500030517578
1685537108.3482215,67220,131.02000427246094
1685537131.2735474,67595,128.3699951171875
1685537154.404073,67971,124.12999725341797
1685537176.8408108,68330,122.51000213623047
1685537210.450276,68905,123.68000030517578
1685537239.9740508,69368,122.08999633789062
1685537259.651645,69684,119.19000244140625
1685537286.335669,70107,118.22000122070312
1685537317.7059953,70644,119.08999633789062
1685537340.4259765,71002,116.30999755859375
1685537360.7456262,71317,114.6500015258789
1685537385.1846228,71723,114.94999694824219
1685537408.1662688,72095,112.0
1685537430.4436707,72450,111.80000305175781
1685537451.3556654,72793,111.04000091552734
1685537471.7675178,73122,109.0
1685537498.5683098,73569,108.37000274658203
1685537530.2828045,74095,108.48999786376953
1685537557.018804,74535,105.80999755859375
1685537585.4436228,75007,105.20999908447266
1685537612.1854374,75444,105.30999755859375
1685537637.0249002,75839,101.79000091552734
1685537659.1412258,76197,101.55000305175781
1685537690.3363862,76724,103.43000030517578
1685537717.033375,77115,102.20999908447266
1685537748.0384502,77640,104.19999694824219
1685537773.8783524,78043,104.4800033569336
1685537797.3727775,78431,104.5999984741211
1685537829.0663517,78957,106.2699966430664
1685537861.2697153,79486,105.80999755859375
1685537896.5744827,80083,107.1500015258789
1685537925.2373993,80557,108.7300033569336
1685537945.594471,80870,107.62999725341797
1685537969.1373367,81255,106.11000061035156
1685537995.9995477,81690,106.87999725341797
1685538020.9222682,82097,107.80000305175781
1685538046.8435144,82520,107.97000122070312
1685538072.9511812,82946,108.51000213623047
1685538097.641481,83351,109.01000213623047
1685538120.1503158,83714,109.20999908447266
1685538152.9293313,84246,111.23999786376953
1685538180.8612354,84707,111.37999725341797
1685538202.5461023,85049,109.54000091552734
1685538225.389538,85418,108.83000183105469
1685538247.6672256,85777,107.69999694824219
1685538267.715196,86102,106.58000183105469
1685538294.6780305,86551,107.12000274658203
1685538318.8904521,86856,106.58999633789062
1685538344.59198,87283,105.58999633789062
1685538369.1847675,87629,105.13999938964844
1685538389.3859315,87946,103.05999755859375
1685538410.1733308,88262,102.19000244140625
1685538439.6569567,88727,102.95999908447266
1685538460.0210607,89059,101.0199966430664
1685538480.413221,89399,99.12999725341797
1685538507.21195,89839,97.55999755859375
1685538527.4603477,90162,96.05000305175781
1685538549.2342863,90515,96.44999694824219
1685538569.2645895,90849,95.94000244140625
1685538589.1745381,91177,94.87000274658203
1685538613.9372368,91574,94.7699966430664
1685538637.4204183,91949,94.29000091552734
1685538657.021374,92260,93.13999938964844
1685538678.7493808,92602,92.51000213623047
1685538700.589783,92955,92.41000366210938
1685538725.7191114,93372,91.26000213623047
1685538746.1728144,93702,89.94999694824219
1685538766.9742246,94039,89.9000015258789
1685538787.1503224,94370,89.5199966430664
1685538809.7420716,94735,89.58000183105469
1685538829.0962033,95051,89.48999786376953
1685538851.4617703,95414,88.62999725341797
1685538874.1618004,95770,89.13999938964844
1685538894.8435273,96106,88.2300033569336
1685538918.6471431,96491,88.62000274658203
1685538939.3183157,96826,88.80000305175781
1685538962.2530947,97182,89.19999694824219
1685538987.1073296,97583,88.55999755859375
1685539008.7767708,97930,88.70999908447266
1685539030.2414393,98279,88.80000305175781
1685539052.472721,98626,87.87000274658203
1685539075.448033,99004,88.41999816894531
1685539094.538013,99304,87.88999938964844
1685539114.585262,99623,87.73999786376953
1685539137.2209241,99982,88.05000305175781
1685539157.3657513,100311,87.37000274658203
1685539179.9852862,100680,87.30999755859375
1685539200.9083352,101016,87.55999755859375
1685539223.7043788,101389,87.87000274658203
1685539244.3977513,101723,87.68000030517578
1685539265.7885668,102063,86.91000366210938
1685539294.7125602,102520,88.18000030517578
1685539320.070869,102923,88.83999633789062
1685539343.043568,103286,89.16000366210938
1685539364.551934,103635,89.0
1685539386.2801487,103986,89.3499984741211
1685539412.3348832,104387,89.7300033569336
1685539434.0687478,104730,89.5999984741211
1685539457.8128572,105115,90.08999633789062
1685539476.9116075,105420,89.29000091552734
1685539497.0553932,105743,89.16999816894531
1685539521.075065,106128,89.45999908447266
1685539542.6062412,106475,88.91999816894531
1685539564.9149451,106839,89.08999633789062
1685539589.055316,107236,89.56999969482422
1685539611.6554291,107583,89.56999969482422
1685539636.9850678,107997,89.93000030517578
1685539660.967492,108367,90.62999725341797
1685539687.2324681,108792,91.69000244140625
1685539710.8817573,109177,91.94999694824219
1685539732.564135,109534,92.2300033569336
1685539754.3727794,109893,92.12999725341797
1685539774.555253,110210,91.94000244140625
1685539793.893109,110521,91.31999969482422
1685539817.4078112,110897,91.73999786376953
1685539840.661585,111265,92.0199966430664
1685539860.9823816,111584,90.63999938964844
1685539881.4563143,111914,89.91000366210938
1685539906.7594004,112302,90.16000366210938
1685539927.719531,112650,90.1500015258789
1685539950.2266736,113004,90.18000030517578
1685539972.1166718,113347,89.5999984741211
1685539993.3980112,113695,89.6500015258789
1685540015.5596235,114050,89.3499984741211
1685540036.5760293,114376,89.55999755859375
1685540057.7449133,114675,89.31999969482422
