CRASH,GOAL,N_STEPS,DONE,ERRORE,X,Y,Z,VX,VY,VZ,X_GOAL,Y_GOAL,Z_GOAL,ROLL,PITCH,YAW,WX,WY,WZ,VX_ACTION,VY_ACTION,VZ_ACTION,DISTANCE_REW,TILT_REW,TOTAL_REW
0,0,381,False,3.819567992682067,-0.6691729655171255,-0.6952134076920014,13.704959243759731,-0.021759510625713886,0.014861426305977131,0.04410127258291349,-50.183952461055014,180.2857225639665,346.39878836228104,-0.20591858432711108,-0.20352854720343344,0.0004883491028791574,-0.1327984154840057,-0.13397187196708282,-0.02635137425511541,-0.5,0.5,-1.0,-0.03819567992682067,-0.03809371421038395,-17.774858905835664
0,0,382,False,3.8172762717135686,-0.8276972356411301,-0.5700867300223967,13.876431729505844,-0.03916703091305123,0.032621598120673556,0.025174198517798084,-50.183952461055014,180.2857225639665,346.39878836228104,-0.21318709333563923,-0.21051902448018572,0.000575609829409537,-0.12930111332478905,-0.1320013763966525,-0.027953157438985757,-0.5,0.5,-1.0,-0.03817276271713568,-0.03737620648939611,-17.850407875042198
0,0,383,False,3.815119344610542,-0.9694865443345883,-0.46687864181373906,14.046882036934615,-0.021813708122189086,0.013421343856052108,0.04148253072627192,-50.183952461055014,180.2857225639665,346.39878836228104,-0.21959680374662024,-0.2171358369567903,0.0005600255850286595,-0.11950162580055983,-0.13069824903372979,-0.02708255625564076,-0.5,0.5,-1.0,-0.03815119344610542,-0.03583078884021384,-17.924389857328517
0,0,384,False,3.812905355109499,-1.1343849524167777,-0.3428407366132739,14.209182086872485,-0.04224260392134028,0.03439958139505578,0.026212551773927336,-50.183952461055014,180.2857225639665,346.39878836228104,-0.22658853595570275,-0.22428147817567287,0.0006324068474183203,-0.15491210833829025,-0.15593408545233728,-0.031726961610224036,-0.5,0.5,-1.0,-0.03812905355109499,-0.04441612338270311,-18.006935034262316
0,0,385,False,3.810313694842298,-1.3001498328143313,-0.21936021768261932,14.415063668402581,-0.0281653628796306,0.019354243651522506,0.05074537107513502,-50.183952461055014,180.2857225639665,346.39878836228104,-0.23454226661861083,-0.23209046983916237,0.000748325611705716,-0.16438810570218462,-0.1644372478182798,-0.035525312550509634,-0.5,0.5,-1.0,-0.03810313694842298,-0.04704257884011649,-18.092080750050854
0,0,386,False,3.807716121398945,-1.4980980491722666,-0.06430037235745296,14.599786828722126,-0.04762884762473037,0.03945171712126704,0.02508117269509912,-50.183952461055014,180.2857225639665,346.39878836228104,-0.24268462679695946,-0.24027034338603082,0.0008493548049137743,-0.15076170287808902,-0.1627580943603812,-0.0362777824825235,-0.5,0.5,-1.0,-0.03807716121398945,-0.04496014494477225,-18.175118056209616
0,0,387,False,3.805184863985407,-1.676289228229502,0.06208063156723189,14.795465116946966,-0.028272218506939985,0.01735192096471274,0.04410457518976163,-50.183952461055014,180.2857225639665,346.39878836228104,-0.2499904738698465,-0.24816122799034723,0.0008699281221571656,-0.14136334044126217,-0.16113978978754548,-0.03574540449745175,-0.5,0.5,-1.0,-0.03805184863985407,-0.043463713516529154,-18.256633618366
0,0,388,False,3.8025950110357587,-1.8842586840993814,0.21443906086834413,14.979475982722166,-0.05124796432911446,0.040226738843345725,0.029810240528064306,-50.183952461055014,180.2857225639665,346.39878836228104,-0.25782657023612027,-0.2564940383900975,0.0008827118419074304,-0.15022510798451352,-0.16455159856697102,-0.04042329977468674,-0.5,0.5,-1.0,-0.03802595011035759,-0.0452896698263869,-18.339949238302744
0,0,389,False,3.799817494385287,-2.09013972018075,0.3625559034041497,15.187723961880797,-0.03611182059501552,0.025395243199019146,0.046118375504292784,-50.183952461055014,180.2857225639665,346.39878836228104,-0.2662017271365258,-0.26517150349267,0.0007793464094221791,-0.1658584773690842,-0.18177476494636066,-0.04987140866545328,-0.5,0.5,-1.0,-0.03799817494385287,-0.05021484126780541,-18.4281622545144
0,0,390,False,3.7971144931282486,-2.322049327001999,0.5333324514069894,15.371446264298594,-0.054814763589700735,0.042371489242836645,0.027385392116666893,-50.183952461055014,180.2857225639665,346.39878836228104,-0.2743809586837309,-0.273770835526638,0.0005588320714974396,-0.1556380091201655,-0.17019120731499912,-0.04738730445148374,-0.5,0.5,-1.0,-0.03797114493128249,-0.047088764499996535,-18.51322216394568
0,0,391,False,3.7942051773553307,-2.541515423013906,0.6871783076304334,15.58994571628837,-0.03679705396150429,0.02333949450513719,0.053102614238718,-50.183952461055014,180.2857225639665,346.39878836228104,-0.2833402669651655,-0.28292665315111326,0.0005048570259071158,-0.18819030699563866,-0.19506222035734141,-0.05313913791436353,-0.5,0.5,-1.0,-0.03794205177355331,-0.05524079269385279,-18.606405008413088
0,0,392,False,3.7909559663188914,-2.8066848839741994,0.8872656427936505,15.815879613326288,-0.06429794098578101,0.05153461280764646,0.038603403249516006,-50.183952461055014,180.2857225639665,346.39878836228104,-0.2935019767132941,-0.29294624917709083,0.000618301229861505,-0.1704717110504038,-0.18527260749444419,-0.05370069035092818,-0.5,0.5,-1.0,-0.037909559663188916,-0.051486039855638155,-18.695800607931915
0,0,393,False,3.7875285630161524,-3.0972649717424465,1.113052876565957,16.044850206542538,-0.045855003339700634,0.03137507800835049,0.058836080836643594,-50.183952461055014,180.2857225639665,346.39878836228104,-0.3033993403668987,-0.30345141246609114,0.0006491116932470093,-0.22321773830908906,-0.24106115245788473,-0.06113526732511619,-0.5,0.5,-1.0,-0.03787528563016152,-0.0668353675327852,-18.80051126109486
0,0,394,False,3.78379320535617,-3.4098907036799213,1.3483736567633753,16.301041442108428,-0.07662304757545485,0.06100047899798375,0.04821764808991093,-50.183952461055014,180.2857225639665,346.39878836228104,-0.3152557282396399,-0.3155655033041036,0.001143946202353842,-0.2361856350240481,-0.24953276141714478,-0.06669994392765792,-0.5,0.5,-1.0,-0.0378379320535617,-0.06999975306588767,-18.90834894621431
0,0,395,False,3.779319731819845,-3.8123022496665335,1.6708501239305162,16.582212439950364,-0.11124356989969207,0.09477023890393614,0.0348708806057966,-50.183952461055014,180.2857225639665,346.39878836228104,-0.3281923030109742,-0.3287343589490755,0.0014474569293973607,-0.1626521495879858,-0.20210612242729672,-0.0699246255582943,-0.5,0.5,-1.0,-0.03779319731819845,-0.05373716023299245,-18.9998793037655
