CRASH,GOAL,N_STEPS,DONE,ERRORE,X,Y,Z,VX,VY,VZ,X_GOAL,Y_GOAL,Z_GOAL,ROLL,PITCH,YAW,WX,WY,WZ,VX_ACTION,VY_ACTION,VZ_ACTION,DISTANCE_REW,TILT_REW,TOTAL_REW
0,0,1,False,2.340966886835711,1.046573179703825e-17,5.351901796333742e-17,9.99999999999248,3.0298838584806825e-18,1.7597123654223666e-17,-0.09799999999999996,79.13671360298508,44.815869605228244,225.7085488437022,-6.690369521034405e-18,1.3037631221953133e-18,-1.3884255734557807e-25,-2.2030136842387677e-16,3.764545872126179e-17,4.772385788846958e-24,0.48716864,0.3492162,0.85632926,-0.02340966886835711,-2.793683542044192e-17,-0.023409668868357138
0,0,2,False,2.3454827675870833,1.652872458194328e-17,8.871110661947538e-17,9.50999999999248,3.0315540280405453e-18,1.759507509869359e-17,-0.29399999999999993,79.13671360298508,44.815869605228244,225.7085488437022,-1.113728922385639e-17,2.0869009077782994e-18,1.6921144363617384e-25,-2.251354193779176e-16,4.093383258528782e-17,1.8439932695337876e-23,-0.32579356,0.046954796,-0.40984622,-0.023454827675870833,-2.8603303925363984e-17,-0.046864496544228
0,0,3,False,2.3536152254487126,2.2590141582881522e-17,1.2389647372798967e-16,8.62799999999248,3.030269225869018e-18,1.7591775891612895e-17,-0.4899999999999999,79.13671360298508,44.815869605228244,225.7085488437022,-1.5779678475443436e-17,3.0502315118011563e-18,6.740781200648232e-25,-2.3486360694232023e-16,5.089272443025884e-17,2.718716271536869e-23,-0.15031053,-0.2541225,-0.21199268,-0.023536152254487127,-3.00392928267221e-17,-0.07040064879871516
0,0,4,False,2.365370808332041,2.8648685053368323e-17,1.590763095248756e-16,7.353999999992481,3.0289996513789484e-18,1.758944010188032e-17,-0.6859999999999998,79.13671360298508,44.815869605228244,225.7085488437022,-2.0588197358988546e-17,4.191121527768289e-18,1.3049049087772407e-24,-2.418381267430429e-16,5.87590589827153e-17,3.2785389928255305e-23,-0.19779873,-0.08922151,-0.5617354,-0.02365370808332041,-3.1109259714532586e-17,-0.0940543568820356
0,0,5,False,2.3594086938951135,-1.4443085500647384e-18,6.001661136903495e-18,7.99999999932459,-1.0028043337292488e-17,-1.0075333042742191e-16,1.0565137992045447e-08,79.13671360298508,44.815869605228244,225.7085488437022,-1.453835079786527e-18,4.2956631456431893e-19,-1.3483594907151138e-22,1.2594166291956714e-15,-1.2535054265017045e-16,2.4677062132894228e-24,-0.061817363,-0.20920123,0.5604619,-0.023594086938951136,-1.5820492073362475e-16,-0.1176484438209869
0,0,6,False,2.3594086938958214,7.105031834000909e-18,-2.570148262785883e-18,7.999999999247841,7.631815175795738e-19,-1.1380189272172805e-18,7.521220667106033e-12,79.13671360298508,44.815869605228244,225.7085488437022,-3.823694245075168e-19,1.4982299997954595e-18,-1.1657162083676895e-22,1.4225232904569593e-17,9.539767972799131e-18,6.1593239131768055e-24,0.1996146,0.12619403,-0.153866,-0.023594086938958213,-2.140985550526802e-18,-0.1412425307599451
0,0,7,False,2.3594086938958214,-5.655925600663428e-18,1.9870940752034821e-19,7.999999999247841,-6.40607897209434e-18,7.130455588375097e-18,7.521202903537638e-12,79.13671360298508,44.815869605228244,225.7085488437022,-7.284896786276733e-19,-9.689466918704776e-20,-9.382467224493038e-23,-8.913000030347589e-17,-8.007564837501642e-17,-1.275411597060497e-21,0.13837694,0.11283639,0.63641536,-0.023594086938958213,-1.497720477217146e-17,-0.16483661769890334
0,0,8,False,2.3594086938958214,-7.634890764155493e-18,1.0687724349941825e-18,7.999999999247841,5.2380861203600595e-18,5.776557155217661e-18,7.521224552886619e-12,79.13671360298508,44.815869605228244,225.7085488437022,-8.372505111133963e-19,-3.4426449078057963e-19,-9.877878303241122e-23,-7.220789179772827e-17,6.547660512781854e-17,-1.7298847966032324e-21,0.3330401,-0.31690553,0.96728873,-0.023594086938958213,-1.2184240243502829e-17,-0.18843070463786157
0,0,9,False,2.3594086938958214,-2.7881712159495972e-18,-4.3943690554908766e-18,7.999999999247841,8.477190524054887e-18,-3.519336535250046e-18,7.521220667106033e-12,79.13671360298508,44.815869605228244,225.7085488437022,-1.5434698202801687e-19,2.6156439752820954e-19,-6.983533016186932e-23,4.3991375093352746e-17,1.05965123005402e-16,-6.255071815226029e-22,0.3798463,0.3353784,0.8260308,-0.023594086938958213,-1.4341726914270827e-17,-0.2120247915768198
0,0,10,False,2.3594086938958214,-1.5623905742040232e-18,8.429566472429391e-19,7.999999999247841,2.199671708688806e-18,1.0848014852613487e-17,7.521220667106033e-12,79.13671360298508,44.815869605228244,225.7085488437022,-8.09022413153331e-19,4.147824245263954e-19,-5.2368367581051373e-23,-1.355997187726961e-16,2.749620901959188e-17,-8.797710995748427e-22,-0.2954825,-0.1022073,0.89452106,-0.023594086938958213,-1.7294925756226772e-17,-0.23561887851577804
0,0,11,False,2.3594086938942875,-4.1778037151753354e-11,-5.143140592979334e-11,7.999999999439863,-4.136027683589346e-11,-5.091713830793445e-11,1.9762356508884472e-10,79.13671360298508,44.815869605228244,225.7085488437022,6.428925038461568e-12,-5.222254033397187e-12,-1.9665089071230695e-21,6.364642288805871e-10,-5.170034603904483e-10,-1.2034644114589098e-19,0.3678375,-0.13147499,0.11299692,-0.023594086938942875,-1.0249842168756323e-10,-0.25921296555721934
0,0,1,False,3.8663150007075866,-0.48727505341662836,0.007001867270746691,7.999999999247841,4.058174287623307e-19,6.463977474923139e-19,7.521206789318225e-12,-50.183952461055014,180.2857225639665,346.39878836228104,-6.6402450147221135e-18,2.7847697727483844e-18,-7.532841522956287e-07,-8.079938220572704e-18,5.072842083154538e-18,-2.4761974583807706e-22,0.46854144,0.5,1.0,-0.03866315000707587,-1.192549320980916e-18,-0.03866315000707587
0,0,2,False,3.8663150007075866,-0.48727505341662836,0.007001867270746666,7.999999999247841,-2.6782509457758205e-18,-1.0233923617259853e-17,7.521210675098811e-12,-50.183952461055014,180.2857225639665,346.39878836228104,-3.42914815205132e-18,2.0222764008090214e-18,-7.532841522956287e-07,1.2792404263084915e-16,-3.347814253635637e-17,1.1272394721721653e-23,0.46854144,0.5,1.0,-0.03866315000707587,-1.6529021215872113e-17,-0.07732630001415175
0,0,3,False,3.866315000701603,-0.48727505339690935,0.0070018673035050945,7.999999999916918,2.5111453134824323e-11,3.641250334627319e-11,3.5138389566785607e-10,-50.183952461055014,180.2857225639665,346.39878836228104,-4.0948088945562785e-12,2.4648802300859305e-12,-7.532841522956256e-07,-4.5515629189350216e-10,3.138931641292562e-10,-1.691355389077387e-19,0.46854144,0.5,1.0,-0.03866315000701603,-6.911224662384815e-11,-0.11598945009028003
0,0,4,False,3.865762302384498,-0.4872901887741048,0.006986328009173037,8.063154995749716,-9.824688216431146e-06,-9.937546243519692e-06,0.046610145819112984,-50.183952461055014,180.2857225639665,346.39878836228104,-0.0005438012449985489,0.0003857380014712399,-2.367002844670353e-05,-0.03586048000005244,0.02543077951611103,-0.0015038613945006635,0.46854144,0.5,1.0,-0.038657623023844984,-0.00549852277281857,-0.16014559588694358
0,0,5,False,3.863966066914942,-0.4873127940515212,0.006969230807378772,8.26841000926871,-1.047353154916198e-05,-6.10902819733714e-06,0.12226266279187581,-50.183952461055014,180.2857225639665,346.39878836228104,-0.0017581335740503674,0.0012470469946825574,-7.557690221875851e-05,-0.06885298449232895,0.04887003549376642,-0.002888106916459184,0.45919132,0.5,1.0,-0.03863966066914942,-0.010560358513847746,-0.20934561506994076
0,0,6,False,3.8607525356017156,-0.4873003087385761,0.007012974059342088,8.635659757336464,1.5209896928194412e-05,3.5829477114004485e-05,0.204414148922903,-50.183952461055014,180.2857225639665,346.39878836228104,-0.0035657533816087924,0.0025416032797173816,-0.00015442781403435008,-0.09594769494929023,0.0691104349859351,-0.003978534186644916,0.43957758,0.5,1.0,-0.03860752535601716,-0.014789164701470167,-0.2627423051274281
0,0,7,False,3.8560672268478418,-0.4871608066323929,0.007241715127844421,9.171205235111737,9.374272184166886e-05,0.0001476380077881518,0.2891100468962282,-50.183952461055014,180.2857225639665,346.39878836228104,-0.005743325383937401,0.004102891747540874,-0.0002481642340120775,-0.11280960112994323,0.07959311296547096,-0.004379415715638297,0.4057241,0.5,1.0,-0.03856067226847842,-0.017266409324104514,-0.318569386720011
0,0,8,False,3.849883318080992,-0.4867454838668383,0.00784445838112987,9.878224484236181,0.00025367104700682315,0.00036271432110532965,0.37498602135475173,-50.183952461055014,180.2857225639665,346.39878836228104,-0.008224983059852115,0.005688762528443116,-0.00034673302910593446,-0.1277981601561587,0.07831335715785417,-0.004246173396589102,0.3528278,0.5,1.0,-0.03849883318080992,-0.018743074403107338,-0.37581129430392823
0,0,9,False,3.842207520320995,-0.48585051259013484,0.009086758448357359,10.75609212493307,0.0005224786262300469,0.0007209521170186999,0.45998375390194024,-50.183952461055014,180.2857225639665,346.39878836228104,-0.010999883046801297,0.00708889368653488,-0.0004410267716403709,-0.14206513751690492,0.06541160481062905,-0.0036413394087621404,0.274971,0.5,1.0,-0.03842207520320995,-0.019555386364075316,-0.4337887558712135
